"owner","route","description","pathParameters","source","context","shell","template","resourceType","policyNeeds","dataSource"
"admin","/app/projects","Bounded active-team project domain landing page.","No path parameters.","packages/admin/src/pages/app/domain-overview.astro","personal","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/teams","Lists teams available to the principal, identifies the active team and membership role, and exposes create, select, edit, member-management, and delete actions when the principal has sufficient authority.","No path parameters.","packages/admin/src/pages/app/teams/index.astro","team","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/teams/[teamId]","Authenticated operational team overview with bounded domain summaries and recent audit activity.","[teamId] identifies the team selected for a protected management action.","packages/admin/src/pages/app/teams/[teamId]/index.astro","team","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/teams/[teamId]/delete","Protected team deletion workflow. Resolves the requested team, verifies an owner or project-lead role, loads deletion blockers, requires an exact confirmation phrase, and deletes only when no blocking records remain.","[teamId] identifies the team selected for a protected management action.","packages/admin/src/pages/app/teams/[teamId]/delete.astro","team","AuthenticatedAppShell","settings","team","signed-in principal","Admin auth/session API facade"
"admin","/app/teams/[teamId]/edit","Protected team settings form. Resolves and selects the requested team, verifies management authority, displays current identity fields, validates submitted changes, and persists updates through the Admin API facade.","[teamId] identifies the team selected for a protected management action.","packages/admin/src/pages/app/teams/[teamId]/edit.astro","team","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/teams/[teamId]/members","Protected membership workspace for listing team members, sending invitations, changing member roles, and removing members. Owner/project-lead authorization and API last-owner protections govern mutations.","[teamId] identifies the team selected for a protected management action.","packages/admin/src/pages/app/teams/[teamId]/members.astro","team","AuthenticatedAppShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/app/teams/active","Explicit, membership-validated active-team preference selection.","No path parameters.","packages/admin/src/pages/app/teams/active.ts","team","AuthenticatedAppShell","action","team","signed-in principal","Admin auth/session API facade"
"admin","/app/teams/new","Authenticated team-creation form. Validates the new team identity, creates it through the API facade, records it as the active team, and continues into the retained team-management surface.","No path parameters.","packages/admin/src/pages/app/teams/new.astro","team","AuthenticatedAppShell","wizard","team","signed-in principal","Admin auth/session API facade"
"admin","/auth/callback/[provider]","Hidden configured-provider callback with one-time state, nonce, PKCE, and safe redirect.","[provider] is one configured identity-provider identifier from the canonical provider registry.","packages/admin/src/pages/auth/callback/[provider].ts","auth","AuthShell","redirect","auth-session","anonymous principal only; configured provider; one-time database state; nonce and PKCE validation; safe return URL","Admin auth/session API facade"
"admin","/auth/check-email","Auth continuation page shown after registration or password-reset requests. Explains which message to expect, preserves only a validated return target, and redirects an already authenticated principal to the app.","No path parameters.","packages/admin/src/pages/auth/check-email.astro","auth","AuthShell","detail","auth-session","anonymous principal only; safe return URL","Admin auth/session API facade"
"admin","/auth/confirm-email","Consumes an email-confirmation token through the authentication API. On success it establishes the resulting session and follows the validated return target; invalid or expired tokens render a recoverable failure state.","No path parameters.","packages/admin/src/pages/auth/confirm-email.astro","auth","AuthShell","detail","auth-session","valid one-time confirmation token; anonymous or signed-in principal; safe return URL","Admin auth/session API facade"
"admin","/auth/device/approve","Signed-in approval screen for CLI/device authorization. Displays the requesting device context, submits approval to the auth service, and reports approved, invalid, expired, or denied states.","No path parameters.","packages/admin/src/pages/auth/device/approve.astro","auth","AuthShell","auth-form","auth-session","signed-in principal; valid pending device request","Admin auth/session API facade"
"admin","/auth/forgot-password","Anonymous password-reset request form. Accepts an account email, calls the reset-request API, and transitions to the check-email page without exposing whether an account exists.","No path parameters.","packages/admin/src/pages/auth/forgot-password.astro","auth","AuthShell","auth-form","auth-session","anonymous principal only; safe return URL","Admin auth/session API facade"
"admin","/auth/logout","CSRF-protected POST action that revokes the current web session, clears the API access cookie, and returns a 303 to sign-in. GET performs no authentication mutation and redirects to sign-in.","No path parameters.","packages/admin/src/pages/auth/logout.ts","auth","AuthShell","redirect","auth-session","GET is non-mutating; POST requires signed-in session and double-submit CSRF","Admin auth/session API facade"
"admin","/auth/register","Anonymous credential-registration form for name, permanent public username, email, and password. It normalizes and checks username availability after debounce, checks privacy-safe email usability on blur/change, blocks submission until both checks succeed, repeats uniqueness validation authoritatively at submission, and directs a new account to email verification.","No path parameters.","packages/admin/src/pages/auth/register.astro","auth","AuthShell","auth-form","auth-session","anonymous principal only; safe return URL","Admin auth/session API facade"
"admin","/auth/reset-password","Token-based password-reset form. Validates and confirms the replacement password, submits the reset token to the auth service, and returns the user to sign-in after completion.","No path parameters.","packages/admin/src/pages/auth/reset-password.astro","auth","AuthShell","auth-form","auth-session","anonymous principal only; safe return URL","Admin auth/session API facade"
"admin","/auth/sign-in","Credential sign-in form accepting email or username plus password. Creates the web session, preserves a safe return target, and exposes recovery and registration paths.","No path parameters.","packages/admin/src/pages/auth/sign-in.astro","auth","AuthShell","auth-form","auth-session","anonymous principal only; safe return URL","Admin auth/session API facade"
"admin","/auth/username","Authenticated username-claim step for principals that do not yet have a public username. Validates namespace availability, stores the permanent username, and returns to a safe account/app destination.","No path parameters.","packages/admin/src/pages/auth/username.astro","auth","AuthShell","auth-form","auth-session","restricted provider-onboarding session; username not already assigned; safe return URL","Admin auth/session API facade"
"admin","/t/[name]","Public team knowledge profile. Resolves a team by normalized public name and renders identity, explicitly public projects, reusable catalog items, knowledge packs, and a publication trail; authenticated members also receive the canonical role-gated team navigation while private membership and operational context remain redacted.","[name] is the normalized public team name.","packages/admin/src/pages/t/[name].astro","team","PublicSingleColumnShell","detail","team","public read","Admin auth/session API facade"
"admin","/team-invites/[token]/accept","Invitation redemption flow. Resolves the invite token, coordinates sign-in or registration when necessary, accepts valid invitations through the API, and reports expired, invalid, or already-used invitations.","[token] is the opaque invitation credential issued by the authentication API.","packages/admin/src/pages/team-invites/[token]/accept.astro","auth","PublicSingleColumnShell","collection","team","signed-in principal","Admin auth/session API facade"
"admin","/u/[username]","Public user knowledge profile. Normalizes the username, renders identity, expertise, and explicitly public attributed contributions, adds canonical account navigation only for the signed-in owner, redirects noncanonical names, and returns 404 for unknown active users without exposing account or membership context.","[username] is the normalized, globally unique public username.","packages/admin/src/pages/u/[username].astro","public","PublicSingleColumnShell","detail","user-profile","public read","Admin auth/session API facade"
"core","/","Core homepage composed from enabled content collections. Introduces the site and surfaces recent questions, objectives, proposals, decisions, notes, people, agents, and books without a Market-owned override.","No path parameters.","packages/core/src/pages/index.astro","content","CoreContentLayout","dashboard","content-page","public read","Core content runtime"
"core","/[slug]","Generic top-level Core content page. Resolves an entry from the pages collection, chooses the configured content or bridge layout, renders local or published-runtime HTML, and returns the shared not-found surface when absent.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/[slug].astro","content","CoreContentLayout","detail","content-page","public read","Core content runtime"
"core","/404","Explicit not-found page with a plain explanation and recovery links to the homepage, books library, and status content.","No path parameters.","packages/core/src/pages/404.astro","content","CoreContentLayout","collection","content-page","public read","Core content runtime"
"core","/agents","Public directory of configured software-agent contributors, including each agent’s name, summary, operator, runtime status, tags, and link to its profile.","No path parameters.","packages/core/src/pages/agents/index.astro","content","CoreContentLayout","collection","agent","public read","Core content runtime"
"core","/agents/[slug]","Agent profile page with rendered narrative content, operator/runtime metadata, and resolved relationships to questions and objectives. Missing agents return the shared 404 presentation.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/agents/[slug].astro","content","CoreContentLayout","detail","agent","public read","Core content runtime"
"core","/books","Ordered public catalog of book records showing title, summary, section metadata, landing paths, and available download links.","No path parameters.","packages/core/src/pages/books/index.astro","content","CoreReaderLayout","reader","book","public read","Core content runtime"
"core","/books/[slug]","Long-form book reader. Resolves a book by ID or slug, renders local or published-runtime content in the reader layout, and returns a book-specific not-found state when absent.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/books/[slug].astro","content","CoreReaderLayout","reader","book","public read","Core content runtime"
"core","/contact","Public contact page and Core-owned contact form for questions, feedback, collaboration notes, and issue reports. It displays submission status returned by the Core form handler.","No path parameters.","packages/core/src/pages/contact.astro","content","CoreContentLayout","auth-form","contact","public read","Core content runtime"
"core","/decisions","Reverse-chronological public decision index showing title, summary, status, date, contributor, and tags for recorded accepted, rejected, deferred, or superseded choices.","No path parameters.","packages/core/src/pages/decisions/index.astro","content","CoreContentLayout","collection","decision","public read","Core content runtime"
"core","/decisions/[slug]","Decision detail with rationale, authority, type, implementation metadata, contributor, rendered body, and links to related objectives, questions, notes, proposals, books, and superseded decisions.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/decisions/[slug].astro","content","CoreContentLayout","detail","decision","public read","Core content runtime"
"core","/docs-runtime","Root of the public knowledge reader. Selects local Astro docs or the published content runtime and renders the root document, with explicit 404 and upstream-unavailable states.","No path parameters.","packages/core/src/pages/docs-runtime/index.astro","content","CoreReaderLayout","reader","documentation","public read","Core content runtime"
"core","/docs-runtime/[...slug]","Catch-all public knowledge reader for nested documentation paths. Resolves local or published content by the complete remaining path and distinguishes missing content from runtime unavailability.","[...slug] is the complete nested documentation path, including any remaining segments.","packages/core/src/pages/docs-runtime/[...slug].astro","content","CoreReaderLayout","reader","documentation","public read","Core content runtime"
"core","/notes","Public working-notes index for implementation observations, framing, and documentation decisions, loaded from the local or published notes collection.","No path parameters.","packages/core/src/pages/notes/index.astro","content","CoreContentLayout","collection","note","public read","Core content runtime"
"core","/notes/[slug]","Working-note detail with metadata and rendered local or published content. Drafts are excluded and missing notes receive a note-specific 404 state.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/notes/[slug].astro","content","CoreContentLayout","detail","note","public read","Core content runtime"
"core","/objectives","Public index of strategic objectives, including summaries, status/context metadata, contributors, and links into each objective record.","No path parameters.","packages/core/src/pages/objectives/index.astro","content","CoreContentLayout","collection","objective","public read","Core content runtime"
"core","/objectives/[slug]","Objective detail with authored content, contributor, and resolved relationships to questions and books. Draft or missing objectives are not rendered.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/objectives/[slug].astro","content","CoreContentLayout","detail","objective","public read","Core content runtime"
"core","/people","Public directory of human contributors, describing stewardship identities and linking each person to their profile.","No path parameters.","packages/core/src/pages/people/index.astro","content","CoreContentLayout","collection","person","public read","Core content runtime"
"core","/people/[slug]","Human contributor profile with rendered biography/profile content and resolved relationships to questions and objectives; missing profiles return 404.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/people/[slug].astro","content","CoreContentLayout","detail","person","public read","Core content runtime"
"core","/proposals","Public proposal index presenting explicit suggested changes with summaries, state, contributors, and navigation to their detailed records.","No path parameters.","packages/core/src/pages/proposals/index.astro","content","CoreContentLayout","collection","proposal","public read","Core content runtime"
"core","/proposals/[slug]","Proposal detail with authored content and relationships to objectives, questions, notes, books, decisions, and superseded proposals. Draft or missing proposals are withheld.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/proposals/[slug].astro","content","CoreContentLayout","detail","proposal","public read","Core content runtime"
"core","/questions","Public stream of research questions, showing their summaries, status/context, contributors, and links to detailed inquiry records.","No path parameters.","packages/core/src/pages/questions/index.astro","content","CoreContentLayout","collection","question","public read","Core content runtime"
"core","/questions/[slug]","Question detail with authored content, contributor information, and resolved objective/book relationships. Draft or unknown questions return the shared not-found state.","[slug] identifies a content entry in the route’s collection.","packages/core/src/pages/questions/[slug].astro","content","CoreContentLayout","detail","question","public read","Core content runtime"
"core","/ui","Core UI catalog used to inspect shared TreeSeed primitives across themes and viewport sizes, including buttons, badges, cards, forms, lists, details, tables, empty states, and appearance controls.","No path parameters.","packages/core/src/pages/ui/index.astro","content","CoreContentLayout","collection","ui-catalog","public read","Core content runtime"
